player_id,name,elo_overall,elo_hard,elo_clay,elo_grass,total_matches
105041,Lukas Lacko,1575.3,1476.6,1406.9,1503.5,246
104330,Rajeev Ram,1575.2,1510.9,1501.3,1547.6,151
104660,Sergiy Stakhovsky,1575.0,1523.6,1515.5,1510.9,388
105386,Janez Semrajc,1574.8,1500.9,1575.5,1500.0,5
209414,Luca Van Assche,1574.8,1545.6,1546.4,1451.9,61
102905,Stefan Koubek,1574.6,1627.2,1473.4,1400.0,392
104352,Colin Obrien,1574.3,1541.1,1529.3,1497.5,6
105074,Ruben Bemelmans,1574.0,1504.5,1481.4,1455.8,91
108701,Juan Sebastian Cabal,1573.8,1494.7,1579.4,1500.0,11
103612,Alexey Kedryuk,1573.6,1556.5,1579.6,1500.0,30
101976,Federico Dondo,1573.5,1502.9,1566.8,1500.0,12
106216,Bjorn Fratangelo,1573.2,1525.4,1502.8,1523.7,62
104535,Daniel Garza,1573.0,1606.2,1483.8,1500.0,28
102087,Oleg Ogorodov,1572.9,1571.5,1506.9,1500.0,29
103193,Peter Wessels,1572.8,1472.1,1469.5,1603.8,70
105208,Ernests Gulbis,1572.7,1580.3,1580.9,1491.9,485
200273,Hady Habib,1572.3,1617.5,1457.4,1500.0,16
101895,Michael Brown B395,1572.3,1555.4,1551.8,1500.0,10
106120,Ricardo Ojeda Lara,1571.8,1558.0,1512.5,1500.0,6
103638,Jhonson Garcia,1571.7,1496.5,1590.1,1500.0,28
104639,Wayne Odesnik,1571.6,1482.0,1656.8,1427.5,101
207799,Matheus Pucinelli De Almeida,1571.5,1529.1,1532.3,1500.0,4
106283,Mitchell Krueger,1571.0,1502.8,1518.8,1447.8,32
103913,Ian Flanagan,1570.9,1500.0,1500.0,1557.1,3
106328,Christian Harrison,1570.8,1540.6,1480.7,1489.7,15
104721,Josselin Ouanna,1570.6,1511.4,1494.6,1500.0,26
104098,Dmitry Tursunov,1570.2,1581.3,1544.5,1500.8,457
200008,Alexis Galarneau,1570.1,1557.7,1472.1,1500.0,5
144821,Genaro Alberto Olivieri,1569.8,1500.0,1557.5,1500.0,3
103850,Sebastian Decoud,1569.4,1500.0,1607.6,1469.7,8
109739,Maximilian Marterer,1569.3,1504.7,1510.9,1429.0,120
105004,Dimitar Kutrovsky,1569.2,1549.7,1535.7,1500.0,13
106033,Romain Arneodo,1568.9,1515.1,1565.9,1500.0,10
105815,Tennys Sandgren,1567.6,1507.4,1441.1,1527.8,123
103227,Mariano Sanchez,1566.6,1566.5,1500.0,1500.0,2
105572,Austin Krajicek,1566.5,1576.0,1442.9,1450.5,36
102469,Solon Peppas,1566.2,1569.1,1523.5,1500.0,13
104214,Igor Andreev,1566.2,1559.6,1540.7,1507.7,469
103527,Julien Jeanpierre,1565.1,1524.8,1514.9,1500.0,5
